[tuimon] frame 67ms | push:15 wait:1 snap:35 encode:16 | 84KB
[tuimon] frame 51ms | push:13 wait:0 snap:35 encode:2 | 84KB
[tuimon] frame 49ms | push:12 wait:0 snap:34 encode:2 | 84KB
[tuimon] frame 71ms | push:13 wait:2 snap:40 encode:15 | 85KB
[tuimon] frame 56ms | push:16 wait:2 snap:36 encode:2 | 83KB
[tuimon] frame 68ms | push:15 wait:2 snap:49 encode:3 | 83KB
[tuimon] frame 51ms | push:12 wait:1 snap:36 encode:1 | 84KB
[tuimon] frame 51ms | push:13 wait:2 snap:34 encode:2 | 84KB
[tuimon] frame 64ms | push:14 wait:0 snap:35 encode:16 | 84KB
[tuimon] frame 48ms | push:12 wait:1 snap:34 encode:1 | 84KB
[tuimon] frame 112ms | push:14 wait:1 snap:34 encode:63 | 85KB
[tuimon] frame 54ms | push:14 wait:0 snap:39 encode:1 | 84KB
[tuimon] frame 57ms | push:15 wait:2 snap:39 encode:1 | 83KB
[tuimon] frame 88ms | push:12 wait:1 snap:74 encode:1 | 82KB
[tuimon] frame 55ms | push:12 wait:2 snap:39 encode:2 | 82KB
[tuimon] frame 50ms | push:13 wait:2 snap:33 encode:2 | 84KB
[tuimon] frame 47ms | push:12 wait:0 snap:33 encode:2 | 83KB
[tuimon] frame 47ms | push:11 wait:1 snap:33 encode:2 | 83KB
[tuimon] frame 56ms | push:15 wait:1 snap:38 encode:2 | 82KB
[tuimon] frame 56ms | push:12 wait:2 snap:41 encode:2 | 82KB
[tuimon] frame 58ms | push:12 wait:2 snap:42 encode:2 | 83KB
[tuimon] frame 72ms | push:11 wait:0 snap:43 encode:17 | 82KB
[tuimon] frame 52ms | push:12 wait:1 snap:36 encode:2 | 82KB
[tuimon] frame 58ms | push:16 wait:2 snap:37 encode:2 | 83KB
[tuimon] frame 50ms | push:13 wait:2 snap:33 encode:2 | 83KB
[tuimon] frame 65ms | push:13 wait:2 snap:35 encode:16 | 84KB
[tuimon] frame 69ms | push:13 wait:1 snap:34 encode:21 | 84KB
[tuimon] frame 47ms | push:13 wait:0 snap:33 encode:1 | 82KB
[tuimon] frame 59ms | push:14 wait:2 snap:42 encode:2 | 83KB
[tuimon] frame 58ms | push:11 wait:0 snap:44 encode:2 | 82KB
[tuimon] frame 73ms | push:11 wait:2 snap:45 encode:15 | 83KB
[tuimon] frame 54ms | push:11 wait:1 snap:40 encode:2 | 82KB
[tuimon] frame 81ms | push:12 wait:1 snap:44 encode:24 | 83KB
[tuimon] frame 52ms | push:12 wait:0 snap:37 encode:2 | 82KB
[tuimon] frame 51ms | push:11 wait:0 snap:37 encode:2 | 83KB
[tuimon] frame 50ms | push:12 wait:1 snap:35 encode:2 | 82KB
[tuimon] frame 51ms | push:13 wait:0 snap:36 encode:1 | 81KB
[tuimon] frame 48ms | push:11 wait:1 snap:35 encode:2 | 82KB
[tuimon] frame 49ms | push:12 wait:2 snap:33 encode:1 | 83KB
[tuimon] frame 60ms | push:14 wait:2 snap:42 encode:2 | 83KB
[tuimon] frame 62ms | push:11 wait:2 snap:33 encode:17 | 84KB
[tuimon] frame 54ms | push:15 wait:1 snap:37 encode:2 | 83KB
[tuimon] frame 60ms | push:11 wait:2 snap:33 encode:15 | 82KB
[tuimon] frame 60ms | push:12 wait:2 snap:44 encode:2 | 82KB
[tuimon] frame 147ms | push:23 wait:1 snap:70 encode:52 | 82KB
[tuimon] frame 58ms | push:13 wait:1 snap:43 encode:1 | 84KB
[tuimon] frame 55ms | push:11 wait:2 snap:41 encode:1 | 82KB
[tuimon] frame 57ms | push:13 wait:2 snap:39 encode:3 | 85KB
[tuimon] frame 76ms | push:13 wait:2 snap:45 encode:17 | 84KB
[tuimon] frame 67ms | push:22 wait:2 snap:42 encode:1 | 82KB
[tuimon] frame 78ms | push:18 wait:2 snap:57 encode:2 | 83KB
[tuimon] frame 47ms | push:11 wait:2 snap:33 encode:1 | 83KB
[tuimon] frame 60ms | push:12 wait:1 snap:32 encode:14 | 84KB
[tuimon] frame 51ms | push:12 wait:1 snap:36 encode:2 | 83KB
[tuimon] frame 106ms | push:13 wait:1 snap:55 encode:37 | 84KB
[tuimon] frame 50ms | push:12 wait:2 snap:35 encode:1 | 83KB
